,Unnamed: 0,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,k_cluster
5460,5460.0,Daniela Andrade,0.8440000000000001,0.475,105500.0,0.149,0.0,0.14,-11.429,0.0395,95.423,0.318,66.0,4,1,2,5
3668,3668.0,Cameron Seely,0.726,0.253,60453.0,0.139,5.01e-05,0.269,-17.067,0.0414,74.369,0.102,66.0,6,1,1,5
26966,26966.0,Zabawa,0.974,0.301,309080.0,0.0177,0.007640000000000002,0.106,-27.29300000000001,0.0422,119.859,0.0892,65.0,0,1,2,5
26978,26978.0,Zachary Levi,0.7994000000000001,0.3256,216826.6,0.21580000000000005,4.560000000000001e-07,0.09607999999999996,-13.1048,0.0429,98.8884,0.3108,64.6,5,1,5,5
26579,26579.0,Winter Aid,0.988,0.521,313253.0,0.0889,0.182,0.0965,-19.457,0.0507,115.43,0.0479,64.0,4,1,2,5
15917,15917.0,Matthew Ineleo,0.925,0.22150000000000009,85020.0,0.174,0.0462805,0.1065,-15.8615,0.03505,129.04949999999997,0.1373,63.0,11,1,4,5
25795,25795.0,Vai Mahina,0.925,0.22150000000000009,85020.0,0.174,0.0462805,0.1065,-15.8615,0.03505,129.04949999999997,0.1373,63.0,11,1,2,5
14155,14155.0,Lily James,0.948,0.274,120547.0,0.0724,1.45e-06,0.0801,-18.279,0.0395,139.381,0.195,63.0,4,1,2,5
17752,17752.0,Nursery Rhymes 123,0.9613333333333332,0.5106666666666666,124469.33333333331,0.1303,6.6666666666666675e-06,0.10163333333333334,-15.722666666666665,0.03326666666666667,105.54033333333332,0.318,63.0,5,1,6,5
25702,25702.0,Unclenathannn,0.765,0.8240000000000001,99838.0,0.0312,7.55e-05,0.0845,-15.873,0.0921,72.727,0.314,62.0,7,1,1,5
3282,3282.0,Brielle Von Hugel,0.926,0.281,247696.0,0.139,0.0,0.099,-8.97,0.0421,63.473,0.0467,62.0,4,1,2,5
